address has no house number: (None, 'Shell Road') https://osm.org/?mlat=29.677862369807755&mlon=-90.10489450048773&zoom=16
address has no house number: (None, 'Privateer Boulevard') https://osm.org/?mlat=29.676391244379563&mlon=-90.10900951579946&zoom=16
address has no house number: (None, 'Shell Road') https://osm.org/?mlat=29.677642265219394&mlon=-90.10432572274223&zoom=16
address does not match a street: ('5112', 'Charles Court') https://osm.org/?mlat=29.671854325932134&mlon=-90.10740939146719&zoom=16
address has no street: ('5078', None) https://osm.org/?mlat=29.677368972545104&mlon=-90.1041482313754&zoom=16
address does not match a street: ('5200', 'Charles Court') https://osm.org/?mlat=29.671818148283876&mlon=-90.10853798154734&zoom=16
address does not match a street: ('5284', 'Buddy Street') https://osm.org/?mlat=29.672162437939566&mlon=-90.10885086093019&zoom=16
address does not match a street: ('5282', 'Buddy Street') https://osm.org/?mlat=29.672187582162955&mlon=-90.10862913420533&zoom=16
address does not match a street: ('5278', 'Buddy Street') https://osm.org/?mlat=29.67241627506908&mlon=-90.10873130424594&zoom=16
address does not match a street: ('5274', 'Buddy Street') https://osm.org/?mlat=29.6724239330414&mlon=-90.108477534681&zoom=16
address does not match a street: ('5262', 'Buddy Street') https://osm.org/?mlat=29.67292983373383&mlon=-90.10820181109199&zoom=16
address does not match a street: ('5250', 'Buddy Street') https://osm.org/?mlat=29.673380075175647&mlon=-90.10810116949598&zoom=16
address does not match a street: ('5258', 'Buddy Street') https://osm.org/?mlat=29.67305982350538&mlon=-90.10816413624157&zoom=16
address does not match a street: ('5254', 'Buddy Street') https://osm.org/?mlat=29.673178342306983&mlon=-90.10807411683196&zoom=16
address does not match a street: ('5271', 'Buddy Street') https://osm.org/?mlat=29.672238551056683&mlon=-90.10765969345422&zoom=16
address does not match a street: ('5268', 'Buddy Street') https://osm.org/?mlat=29.67262431608215&mlon=-90.10830888126365&zoom=16
address has no house number: (None, 'Isidore Street') https://osm.org/?mlat=29.67751968180352&mlon=-90.10405233903207&zoom=16
new building address (('5393', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.669129303484937&mlon=-90.1065470055039&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5394', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.669184290379125&mlon=-90.1071130136647&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5382', 'Old Kerner Road') https://osm.org/?mlat=29.669084853465662&mlon=-90.10606936623212&zoom=16) does not match the old one ((None, 'Old Kerner Road'))
new building address (('5368', 'Old Kerner Road') https://osm.org/?mlat=29.66947933402196&mlon=-90.10630534142794&zoom=16) does not match the old one ((None, 'Old Kerner Road'))
new building address (('5339', 'Fisher Street') https://osm.org/?mlat=29.66943291251743&mlon=-90.10932214403888&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5108', '2nd Street') https://osm.org/?mlat=29.669188786740303&mlon=-90.10925291768824&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5348', 'Fisher Street') https://osm.org/?mlat=29.669265037913&mlon=-90.10876060697431&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5348', 'Fisher Street') https://osm.org/?mlat=29.669305079059118&mlon=-90.10870968898875&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5354', 'Fisher Street') https://osm.org/?mlat=29.669293727030663&mlon=-90.10845268662655&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5358', 'Fisher Street') https://osm.org/?mlat=29.66929254909008&mlon=-90.10854290340122&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5372', 'Fisher Street') https://osm.org/?mlat=29.669267180562354&mlon=-90.10820553318042&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5080', 'Betty Mae Street') https://osm.org/?mlat=29.67604511529542&mlon=-90.10150040096553&zoom=16) does not match the old one ((None, 'Betty Mae Street'))
new building address (('5070', 'Betty Mae Street') https://osm.org/?mlat=29.67628160864806&mlon=-90.10135657136627&zoom=16) does not match the old one ((None, 'Betty Mae Street'))
new building address (('5058', 'Betty Mae Street') https://osm.org/?mlat=29.67649971744291&mlon=-90.10119533173211&zoom=16) does not match the old one ((None, 'Betty Mae Street'))
new building address (('5053', 'Betty Mae Street') https://osm.org/?mlat=29.676484714060532&mlon=-90.10050565445228&zoom=16) does not match the old one ((None, 'Betty Mae Street'))
new building address (('5067', 'Betty Mae Street') https://osm.org/?mlat=29.67600087306757&mlon=-90.1005802778685&zoom=16) does not match the old one ((None, 'Betty Mae Street'))
new building address (('5085', 'Betty Mae Street') https://osm.org/?mlat=29.6755584582612&mlon=-90.10093185727301&zoom=16) does not match the old one ((None, 'Betty Mae Street'))
new building address (('4933', 'Central Street') https://osm.org/?mlat=29.673355475121724&mlon=-90.10223474260754&zoom=16) does not match the old one ((None, 'Betty Mae Street'))
new building address (('4933', 'Central Street') https://osm.org/?mlat=29.674079374576536&mlon=-90.10201057487004&zoom=16) does not match the old one ((None, 'Betty Mae Street'))
new building address (('4961', 'Central Street') https://osm.org/?mlat=29.674991216297673&mlon=-90.10350991156115&zoom=16) does not match the old one ((None, 'Central Street'))
new building address (('4953', 'Central Street') https://osm.org/?mlat=29.674925607648206&mlon=-90.10308019134622&zoom=16) does not match the old one ((None, 'Central Street'))
new building address (('4939', 'Central Street') https://osm.org/?mlat=29.6748190716961&mlon=-90.10285203182278&zoom=16) does not match the old one ((None, 'Central Street'))
new building address (('5119', 'Randy Street') https://osm.org/?mlat=29.675198991366127&mlon=-90.10242229975913&zoom=16) does not match the old one ((None, 'Randy Street'))
new building address (('5111', 'Randy Street') https://osm.org/?mlat=29.675488314644234&mlon=-90.1023194860409&zoom=16) does not match the old one ((None, 'Randy Street'))
new building address (('5116', 'Randy Street') https://osm.org/?mlat=29.675666327374188&mlon=-90.1030451056488&zoom=16) does not match the old one ((None, 'Randy Street'))
new building address (('5102', 'Randy Street') https://osm.org/?mlat=29.67588358687334&mlon=-90.10270524879405&zoom=16) does not match the old one ((None, 'Randy Street'))
new building address (('4984', 'Central Street') https://osm.org/?mlat=29.675850953838065&mlon=-90.10377416764999&zoom=16) does not match the old one ((None, 'Central Street'))
new building address (('5141', 'Central Street') https://osm.org/?mlat=29.675395701377415&mlon=-90.1041530835882&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5132', 'Anna Street') https://osm.org/?mlat=29.674313457182375&mlon=-90.10642140183526&zoom=16) does not match the old one ((None, 'Anna Street'))
new building address (('5133', 'Anna Street') https://osm.org/?mlat=29.673599913920732&mlon=-90.10687008887116&zoom=16) does not match the old one ((None, 'Anna Street'))
new building address (('5118', 'Anna Street') https://osm.org/?mlat=29.67402001751324&mlon=-90.10626997476098&zoom=16) does not match the old one ((None, 'Anna Street'))
new building address (('5214', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.6739404807643&mlon=-90.10584786570702&zoom=16) does not match the old one ((None, 'Anna Street'))
new building address (('5225', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.673231894036963&mlon=-90.1051173971979&zoom=16) does not match the old one ((None, 'Maise Street'))
new building address (('5178', 'Seth Street') https://osm.org/?mlat=29.67429725704699&mlon=-90.1080244633575&zoom=16) does not match the old one ((None, 'Seth Street'))
new building address (('5298', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.672001036430828&mlon=-90.10727771714502&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5340', 'Dufrene Street') https://osm.org/?mlat=29.670685775092085&mlon=-90.10785071528208&zoom=16) does not match the old one ((None, 'Dufrene Street'))
new building address (('5342', 'Dufrene Street') https://osm.org/?mlat=29.670603186732595&mlon=-90.10779390387123&zoom=16) does not match the old one ((None, 'Dufrene Street'))
new building address (('5348', 'Dufrene Street') https://osm.org/?mlat=29.670420662084172&mlon=-90.1078503480873&zoom=16) does not match the old one ((None, 'Dufrene Street'))
new building address (('5349', 'Dufrene Street') https://osm.org/?mlat=29.67046756336786&mlon=-90.10835244674718&zoom=16) does not match the old one ((None, 'Dufrene Street'))
new building address (('5343', 'Dufrene Street') https://osm.org/?mlat=29.67064981480272&mlon=-90.10837108619097&zoom=16) does not match the old one ((None, 'Dufrene Street'))
new building address (('5124', 'Main Road') https://osm.org/?mlat=29.670089194611375&mlon=-90.10777285684748&zoom=16) does not match the old one ((None, 'Main Road'))
new building address (('5118', 'Main Road') https://osm.org/?mlat=29.67008623044379&mlon=-90.10765440901562&zoom=16) does not match the old one ((None, 'Main Road'))
new building address (('5142', 'Main Road') https://osm.org/?mlat=29.670044197357345&mlon=-90.10841727228305&zoom=16) does not match the old one ((None, 'Main Road'))
new building address (('5146', 'Main Road') https://osm.org/?mlat=29.670105707450894&mlon=-90.1085827581325&zoom=16) does not match the old one ((None, 'Main Road'))
new building address (('5327', 'Dufrene Street') https://osm.org/?mlat=29.671023160555574&mlon=-90.10817624255797&zoom=16) does not match the old one ((None, 'Dufrene Street'))
new building address (('5134', 'Nunez Street') https://osm.org/?mlat=29.67142213218373&mlon=-90.10812618331171&zoom=16) does not match the old one ((None, 'Nunez Street'))
new building address (('5119', 'Nunez Street') https://osm.org/?mlat=29.670977364609914&mlon=-90.10764476360154&zoom=16) does not match the old one ((None, 'Nunez Street'))
new building address (('5336', 'Dufrene Street') https://osm.org/?mlat=29.67078944085542&mlon=-90.10779885065033&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5336', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.670851119510093&mlon=-90.1073066009504&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5362', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.67008089196034&mlon=-90.10729074039462&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('5368', 'Jean Lafitte Boulevard') https://osm.org/?mlat=29.669909909838335&mlon=-90.10723139894384&zoom=16) does not match the old one ((None, 'Jean Lafitte Boulevard'))
new building address (('4977', 'Main Road') https://osm.org/?mlat=29.66986673839726&mlon=-90.10632698559151&zoom=16) does not match the old one ((None, 'Main Road'))
new building address (('4971', 'Main Road') https://osm.org/?mlat=29.669854976073015&mlon=-90.10612384841234&zoom=16) does not match the old one ((None, 'Main Road'))
new building address (('4915', 'Main Road') https://osm.org/?mlat=29.669909127744308&mlon=-90.1043660515057&zoom=16) does not match the old one ((None, 'Main Road'))
new building address (('4951', 'Main Road') https://osm.org/?mlat=29.669878750559462&mlon=-90.10550241927737&zoom=16) does not match the old one ((None, 'Main Road'))
