new building address (('5512', 'Fisher Street') https://osm.org/?mlat=29.66811365559298&mlon=-90.10832856857097&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5527', 'Fisher Street') https://osm.org/?mlat=29.667818812538826&mlon=-90.10776069634105&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5531', 'Fisher Street') https://osm.org/?mlat=29.667673224650056&mlon=-90.10774397636142&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5535', 'Fisher Street') https://osm.org/?mlat=29.667533665320104&mlon=-90.10775388640634&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5541', 'Fisher Street') https://osm.org/?mlat=29.66736701562536&mlon=-90.10783098886019&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5540', 'Fisher Street') https://osm.org/?mlat=29.66741853015196&mlon=-90.10829818344573&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5550', 'Fisher Street') https://osm.org/?mlat=29.66713808212325&mlon=-90.10826096081637&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5558', 'Fisher Street') https://osm.org/?mlat=29.66687031191053&mlon=-90.10831392903074&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5554', 'Fisher Street') https://osm.org/?mlat=29.666984874494865&mlon=-90.10833059559282&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5564', 'Fisher Street') https://osm.org/?mlat=29.666735857017088&mlon=-90.10827943708411&zoom=16) does not match the old one ((None, '4th Street'))
new building address (('5571', 'Fisher Street') https://osm.org/?mlat=29.66658310216771&mlon=-90.10782443845376&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5583', 'Fisher Street') https://osm.org/?mlat=29.666236578165908&mlon=-90.10762151949777&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5596', 'Fisher Street') https://osm.org/?mlat=29.665841649662966&mlon=-90.10842138183482&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5597', 'Fisher Street') https://osm.org/?mlat=29.665840683698363&mlon=-90.10782519532788&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5687', 'Fisher Street') https://osm.org/?mlat=29.663344107447728&mlon=-90.10772931067758&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5672', 'Fisher Street') https://osm.org/?mlat=29.66376398079937&mlon=-90.1084684946917&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5682', 'Fisher Street') https://osm.org/?mlat=29.66347636033963&mlon=-90.1085081517329&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5694', 'Fisher Street') https://osm.org/?mlat=29.663136532434404&mlon=-90.10844907191749&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5700', 'Fisher Street') https://osm.org/?mlat=29.662946684007114&mlon=-90.108397190841&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('5697', 'Fisher Street') https://osm.org/?mlat=29.663104411757143&mlon=-90.10779531473781&zoom=16) does not match the old one ((None, 'Fisher Street'))
new building address (('4981', '2nd Street') https://osm.org/?mlat=29.668336572243614&mlon=-90.10642427920739&zoom=16) does not match the old one ((None, '2nd Street'))
new building address (('4973', '2nd Street') https://osm.org/?mlat=29.66828252872721&mlon=-90.10613025855493&zoom=16) does not match the old one ((None, '2nd Street'))
new building address (('4971', '2nd Street') https://osm.org/?mlat=29.668296106540915&mlon=-90.1060002198905&zoom=16) does not match the old one ((None, '2nd Street'))
new building address (('5507', 'Perrin Street') https://osm.org/?mlat=29.668287650041048&mlon=-90.10667791732922&zoom=16) does not match the old one ((None, 'Perrin Street'))
new building address (('5517', 'Perrin Street') https://osm.org/?mlat=29.6680312490979&mlon=-90.1067173122829&zoom=16) does not match the old one ((None, 'Perrin Street'))
new building address (('5525', 'Perrin Street') https://osm.org/?mlat=29.667821248465316&mlon=-90.10672451162688&zoom=16) does not match the old one ((None, 'Perrin Street'))
new building address (('5532', 'Perrin Street') https://osm.org/?mlat=29.667337443801483&mlon=-90.10726008087353&zoom=16) does not match the old one ((None, 'Perrin Street'))
new building address (('5563', 'Perrin Street') https://osm.org/?mlat=29.66684592934685&mlon=-90.10661415440606&zoom=16) does not match the old one ((None, 'Perrin Street'))
new building address (('5569', 'Perrin Street') https://osm.org/?mlat=29.666589838792845&mlon=-90.10675883867266&zoom=16) does not match the old one ((None, 'Perrin Street'))
